ORDER_ID,RETAILER_ID,BRAND_ID,ORDER_CREATED,ORDER_STATE,TOTAL_GMV
3601800,329783,2954,2021-07-01 00:00:00,PROCESSING,140.58000000000000
3761184,367116,3240,2021-07-01 00:00:00,PROCESSING,242.82
3761293,324308,6138,2021-07-01 00:00:00,PROCESSING,581.49
3593891,103186,20763,2021-07-01 00:00:00,PROCESSING,1018.14
3761279,155258,18759,2021-07-01 00:00:00,PROCESSING,523.98
3559545,377325,47987,2021-07-01 00:00:00,PROCESSING,383.4
3761203,354516,39085,2021-07-01 00:00:00,PROCESSING,275.835
3761236,214221,223181,2021-07-01 00:00:00,PROCESSING,349.32
3761257,323476,127086,2021-07-01 00:00:00,PROCESSING,127.8
3761289,78853,93748,2021-07-01 00:00:00,PROCESSING,982.995
3761156,354516,45285,2021-07-01 00:00:00,PROCESSING,388.299
3761205,344634,58168,2021-07-01 00:00:00,PROCESSING,30.885000000000000
3761366,354217,100234,2021-07-01 00:00:00,PROCESSING,44.2188
3761412,345358,25728,2021-07-01 00:00:00,PROCESSING,185.31
3761515,359217,65551,2021-07-01 00:00:00,PROCESSING,798.75
3761632,353467,20067,2021-07-01 00:00:00,PROCESSING,416.75580000000000
3761660,254196,33842,2021-07-01 00:00:00,PROCESSING,843.4800000000000
3761366,354217,131696,2021-07-01 00:00:00,PROCESSING,198.09
3761366,354217,109561,2021-07-01 00:00:00,PROCESSING,958.5
3761413,379848,9320,2021-07-01 00:00:00,PROCESSING,264.6525
3761418,324308,7440,2021-07-01 00:00:00,PROCESSING,913.77
3761599,228686,37703,2021-07-01 00:00:00,PROCESSING,320.77800000000000
3761366,354217,15148,2021-07-01 00:00:00,PROCESSING,600.66
3761366,354217,20952,2021-07-01 00:00:00,PROCESSING,325.89
3761426,345358,37640,2021-07-01 00:00:00,PROCESSING,285.9312
3761454,273546,110615,2021-07-01 00:00:00,PROCESSING,59.64
3761543,324308,68840,2021-07-01 00:00:00,PROCESSING,1073.0088000000000
3761578,371405,38095,2021-07-01 00:00:00,PROCESSING,3928.4016000000000
3761630,353467,245473,2021-07-01 00:00:00,PROCESSING,47.925
3761366,354217,34088,2021-07-01 00:00:00,PROCESSING,924.42
3761366,354217,47906,2021-07-01 00:00:00,PROCESSING,140.58000000000000
3761366,354217,90799,2021-07-01 00:00:00,PROCESSING,136.32
3761493,111234,50260,2021-07-01 00:00:00,PROCESSING,1716.3540000000000
3761563,345358,71688,2021-07-01 00:00:00,PROCESSING,217.26
3761366,354217,64816,2021-07-01 00:00:00,PROCESSING,498.42000000000000
3761378,78853,64094,2021-07-01 00:00:00,PROCESSING,632.61
3761373,354217,29298,2021-07-01 00:00:00,PROCESSING,183.18000000000000
3761438,373261,5330,2021-07-01 00:00:00,PROCESSING,544.2150000000000
3761516,345358,13129,2021-07-01 00:00:00,PROCESSING,85.20000000000000
3761521,324308,6903,2021-07-01 00:00:00,PROCESSING,1795.59
3761366,354217,15097,2021-07-01 00:00:00,PROCESSING,178.92
3761583,8236,146930,2021-07-01 00:00:00,PROCESSING,204.48
3761366,354217,12778,2021-07-01 00:00:00,PROCESSING,447.30000000000000
3761366,354217,9002,2021-07-01 00:00:00,PROCESSING,140.58000000000000
3761471,353467,118572,2021-07-01 00:00:00,PROCESSING,127.8
3761516,345358,13129,2021-07-01 00:00:00,PROCESSING,127.8
3761856,303877,67073,2021-07-01 00:00:00,PROCESSING,528.24
3761862,303877,5950,2021-07-01 00:00:00,PROCESSING,47.925
3761897,303877,197888,2021-07-01 00:00:00,PROCESSING,696.51
3762203,190258,9320,2021-07-01 00:00:00,PROCESSING,489.5592
3762219,362292,191718,2021-07-01 00:00:00,PROCESSING,266.037
3761862,303877,5950,2021-07-01 00:00:00,PROCESSING,76.68000000000000
3761862,303877,5950,2021-07-01 00:00:00,PROCESSING,31.95
3761862,303877,5950,2021-07-01 00:00:00,PROCESSING,28.755
3761946,258919,221922,2021-07-01 00:00:00,PROCESSING,715.68
3761990,358248,68854,2021-07-01 00:00:00,PROCESSING,511.2
3761870,303877,162641,2021-07-01 00:00:00,PROCESSING,221.52000000000000
3762059,359866,45287,2021-07-01 00:00:00,PROCESSING,919.7340000000000
3762250,362292,50076,2021-07-01 00:00:00,PROCESSING,693.3150000000000
3762369,94200,219648,2021-07-01 00:00:00,PROCESSING,754.4460000000000
3762379,126450,159548,2021-07-01 00:00:00,PROCESSING,639.0
3762418,252794,3792,2021-07-01 00:00:00,PROCESSING,373.815
3762463,355649,56101,2021-07-01 00:00:00,PROCESSING,485.001
3762577,330413,21260,2021-07-01 00:00:00,PROCESSING,71.35500000000000
3762598,1247,3418,2021-07-01 00:00:00,PROCESSING,414.072
3761765,141995,121463,2021-07-01 00:00:00,PROCESSING,265.39800000000000
3761862,303877,5950,2021-07-01 00:00:00,PROCESSING,38.340000000000000
